date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:07	50523/50523	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2013:31:32%20GMT	https://wowtheme7.com/tf/agiletech/index-5.html	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/index-5.html	(from )
16:08:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2010:08:08%20GMT	https://wowtheme7.com/robots.txt		(from )
16:08:08	2460/2460	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202023%2019:51:24%20GMT	https://wowtheme7.com/tf/agiletech/assets/img/favicon.png	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/img/favicon.png	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:09	61033/61033	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Feb%202023%2015:51:34%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/animate.min.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/animate.min.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:09	155845/155845	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Jun%202021%2015:25:36%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/bootstrap.min.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:10	59344/59344	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Mar%202021%2005:46:20%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/fontawesome.min.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:10	3090/3090	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2013:40:26%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/nice-select.min.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/nice-select.min.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:10	5235/5235	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Nov%202021%2013:42:06%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/magnific.min.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/magnific.min.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:10	1825/1825	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Feb%202023%2012:50:12%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/slick.min.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/slick.min.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:11	5147/5147	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Feb%202023%2006:21:22%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/owl.min.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/owl.min.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:11	147248/147248	---M-Z	200	added ('OK')	text/css	date:Sun,%2014%20May%202023%2006:16:50%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/style.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/style.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:11	421/421	---M-Z	200	added ('OK')	text/css	date:Sat,%2025%20Feb%202023%2020:56:34%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/style-sky-blue.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/style-sky-blue.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:11	11390/11390	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20May%202023%2008:13:18%20GMT	https://wowtheme7.com/tf/agiletech/assets/css/responsive.css	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/css/responsive.css	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:12	30291/30291	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Sep%202023%2017:14:01%20GMT	https://wowtheme7.com/tf/agiletech/index.html	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/index.html	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:12	4288/4288	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2010:48:40%20GMT	https://wowtheme7.com/tf/agiletech/assets/img/logo3.png	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/assets/img/logo3.png	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:12	52138/52138	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2013:27:54%20GMT	https://wowtheme7.com/tf/agiletech/index-1.html	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/index-1.html	(from https://wowtheme7.com/tf/agiletech/index-5.html)
16:08:13	46945/46945	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2013:28:54%20GMT	https://wowtheme7.com/tf/agiletech/index-2.html	C:/My%20Web%20Sites/Ai5/wowtheme7.com/tf/agiletech/index-2.html	(from https://wowtheme7.com/tf/agiletech/index-5.html)
